neighborhood,parks_satisfied,parks_neither,parks_dissatisfied,schools_satisfied,schools_neither,schools_dissatisfied,street_maintenance_satisfied,street_maintenance_neither,street_maintenance_dissatisfied,alley_maintenance_satisfied,alley_maintenance_neither,alley_mainenance_dissatisfied,garbage_collection_satisfied,garbage_collection_neither,garbage_collection_dissatisfied,police_satisfied,police_neither,police_dissatisfied,public_transportation_satisfied,public_transportation_neither,public_transportation_dissatisfied,fire_department_satisfied,fire_department_neither,fire_department_disatisfied,sewage_system_satisfied,sewage_system_neither,sewage_system_dissatisfied,condition_cost_housing_satisfied,condition_cost_housing_neither,condition_cost_housing_dissatisfied
All neighborhoods,51,15,23,46,12,21,32,15,49,20,13,39,74,10,13,51,17,23,61,11,23,78,7,3,63,10,13,44,17,22
Westwood,16,11,56,48,14,18,18,15,66,11,7,37,75,7,12,49,14,21,60,11,25,56,12,12,59,16,12,53,15,12
31st ward,13,13,67,20,33,20,33,7,53,27,20,20,73,13,7,60,7,20,49,20,13,80,0,7,33,7,40,73,7,7
Arlington,58,15,15,44,14,25,29,16,51,18,9,57,79,10,9,57,23,13,33,11,52,80,10,1,52,10,16,42,23,17
Allegheny Center,69,22,6,35,14,14,51,22,22,14,12,33,57,12,14,59,12,22,88,4,6,76,2,4,51,8,12,41,16,35
Allegheny West,73,7,7,47,7,13,40,13,40,33,20,47,67,7,13,40,7,40,67,13,20,87,7,0,53,7,20,33,0,53
Allentown,39,13,40,56,13,20,16,4,75,10,13,65,90,2,6,45,22,25,32,10,55,85,6,2,57,10,18,30,19,33
Banksville-Greentree,28,10,54,34,22,22,27,12,60,12,2,13,80,10,8,61,14,16,59,14,25,53,12,7,61,7,12,62,13,12
Beechview,32,15,41,49,15,20,12,9,77,15,10,34,67,13,17,54,17,22,80,6,12,83,5,0,65,10,12,48,17,17
Beltzhoover,63,13,11,44,23,10,17,14,61,5,10,76,71,15,11,22,29,43,51,9,34,70,8,5,49,19,19,20,19,38
Bloomfield,50,23,17,53,8,17,38,14,46,19,19,50,73,10,15,55,16,20,67,9,21,82,5,2,66,10,8,45,15,23
